column,dtype
codmes,int32
key_value,string
target,int32
monto,float64
ctd_prod_rccsf_m01,int32
prom_salvig_entprinc_pp_rccsf_03m,float64
max_usotcrrstsf06m,float64
max_usotcrrstsf03m,float64
prm_lintcribksf06m,float64
lin_tcribksf03m,float64
lin_tcribksf06m,float64
cre_salvig_pp_rccsf_m02,float64
prm_usotcrrstsf06m,float64
prm_lintcribksf03m,float64
prm_usotcrrstsf03m,float64
ratuso_tcrrstsf_m13,float64
promctdprodrccsf3m,float64
ratpct_saldopprcc_m13,float64
promctdprodrccsf6m,float64
ctd_actrccsf_6m,int32
ctd_flgact_rccsf_m01,int32
sld_ep1ppeallsfm01,float64
prm_sldvigrstsf12m,float64
sldtot_tcrsrcf,float64
sldvig_tcrsrcf,float64
flg_lintcrripsaga,int32
flg_svtcrsrcf,int32
flg_sdtcrripsaga,int32
flg_sttcrsrcf,int32
flg_svltcrsrcf,int32
max_camptottlv06m,int32
min_camptottlv06m,int32
frc_camptottlv06m,int32
rec_camptottlv06m,int32
grp_camptottlv06m,int32
ctd_camptottlv06m,int32
prm_camptottlv06m,float64
max_campecstlv06m,int32
min_campecstlv06m,int32
frc_campecstlv06m,int32
rec_campecstlv06m,int32
grp_campecstlv06m,int32
ctd_campecstlv06m,int32
prm_campecstlv06m,float64
prob_value,float64
max_camptot06m,int32
min_camptot06m,int32
frc_camptot06m,int32
rec_camptot06m,int32
grp_camptot06m,int32
ctd_camptot06m,int32
prm_camptot06m,float64
max_campecs06m,int32
min_campecs06m,int32
frc_campecs06m,int32
rec_campecs06m,int32
grp_campecs06m,int32
ctd_campecs06m,int32
prm_campecs06m,float64
ing_brt,float64
sexo,int32
region,int32
flg_notdeseaecs01m,int32
flg_notdeseaecs02m,int32
flg_notdeseaecs03m,int32
sgt_cem,int32
ctd_proac,int32
ctd_cttefeproac,int32
ctd_cttefetot,int32
rng_pst,int32
ubigeo_buro,int32
edad,float64
grp_riesgociiu,int32
flg_saltothip12m,int32
flg_saltotppe12m,int32
prm_pctsaltototrent12m,float64
prm_pctsaltotcaja12m,float64
ant_saltot24m,float64
ant_saltot12m,float64
min_difsaltottcr12m,float64
num_incrsaldispefe06m,float64
max_difent12m,float64
num_dismsalppecons06m,float64
seg_un,float64
beta_pctusotcr12m,float64
prm_pctusosaltottcr03m,float64
dsv_saltotppe03m,float64
prm_diasatrrdpn12m,float64
dsv_numentrdlintcr03m,float64
rat_disefepnm01,float64
prm_diasatrrdpn06m,float64
pct_usotcrm01,float64
dsv_numentrdlintcr06m,float64
beta_saltotppe12m,float64
prm_entrd03m,float64
ctd_entrdm01,int32
beta_saltotppe06m,float64
prm_diasatrrd03m,float64
prm_saltotrdpj03m,float64
prm_saltotrdpj12m,float64
dsv_diasatrrdpj12m,float64
max_pctsalimpago12m,float64
prm_diasatrrdpj03m,float64